Serial_Number,text,relabel_llm_output,llm_model,Label_Topic,csw-removed-comment
1349,"Porsche sports car :cross_mark:
PORCHES SUPER SUV :check_mark_button:",5,llama3:70b,Irrelevant/General Comments,"""Corrupt politicians are like a Porsche sports car :cross_mark:. The super SUV they drive is the corruption they spread :check_mark_button:"""
459,7 Min 1 Lack View Great :thumbs_up:,5,llama3:70b,Irrelevant/General Comments,"""7 million views in just one minute, great stuff :thumbs_up:"""
2085,"I moved from Bombay to Pune 2 years ago. In my experience, people in general are too comfortable to drive vehicles in the opposite lane, in the wrong lane, they are quick to jump signals, most 2 wheeler riders do not wear helmet, I was shocked to see such leniency of the Traffic Police that failed to curtail such bad driving behavior. Bombay is much stricter in terms of people following traffic rules. Due to this, I'm concerned whenever I'm on the road riding a bike in Pune. Very unfortunate incident. I hope traffic rules are more stringently followed. Also saw a lot of Bad driving in Hinjewadi, Wakad and Ravet. I guess people in Pune do not respect traffic rules much.",1,llama3:70b,Public Safety,"""I shifted from Mumbai to Pune two years ago. In my experience, people generally drive recklessly, often crossing lanes, jumping signals, and most two-wheeler riders don't wear helmets. I'm shocked that the Traffic Police are so lenient about curbing such bad driving habits. Mumbai is much stricter when it comes to following traffic rules. That's why I'm always on edge whenever I'm riding a bike in Pune. It's a very unfortunate incident. I hope traffic rules are enforced more strictly. I've also seen a lot of bad driving in areas like Hinjewadi, Wakad, and Ravet. It seems people in Pune don't respect traffic rules much."""
481,pura family criminal he. subko arrest kro,4,llama3:70b,Anger or Outrage,The entire family is a bunch of criminals. Arrest them all.
2153,It's remind me of Jolly LLB.,6,llama3:70b,Views on Similar Cases in the Past,"""It reminds me of the movie Jolly LLB."""
726,Seventeen (17) years ke iddarini murder chesadu...it might be any situation...it should be called murder..bcos two families are on the road... definitely he knew speeding at 200kmh means it kills someone on the road,6,llama3:70b,Views on Similar Cases in the Past,"""It's been seventeen years since that murder happened...it doesn't matter what the situation was...it's still a murder...because two families are still suffering...and he must have known that driving at 200km/h is like a death sentence on the road :expressionless face"""
533,What a fucking justice.what a  democracy,0,llama3:70b,Judicial Accountability and Policy Demands,"""This is a complete travesty of justice. What a joke of a democracy."""
1939,Atleast 80 percent of driver who drive at night drinks alcohol in all metropolitan cities . ye sab aisa hi chalta kyunki govt ka fayda hota liquor ko highways par khulwane ne .,4,llama3:70b,Anger or Outrage,"""At least 80 percent of drivers at night in all metropolitan cities drink alcohol. This is the same everywhere because the government benefits from opening liquor shops on highways."""
443,Next video on Hathras case,6,llama3:70b,Views on Similar Cases in the Past,The next video will be about the Hathras case.
809,Our justice system is a joke,0,llama3:70b,Judicial Accountability and Policy Demands,"""Our justice system is a complete farce."""
2439,Justice,3,llama3:70b,Victim Sympathy,"""Kya yeh sachmuch justice hai jo kuch logon ko jail me daalke koi bhi kanooni faislein sunane se rok sakta hai?"""
2223,Bhaiya please make video on virjbhusan son he killed two man:crying_face:,6,llama3:70b,Views on Similar Cases in the Past,"""Brother, please make a video about Virjbhusan's son, he killed two men :expressionless face"""
3008,*_Indian judiciary is a comedy_* :clown_face:,0,llama3:70b,Judicial Accountability and Policy Demands,"""The Indian judiciary is a joke."""
2475,"2 lifes ended and medical practitioners who swear to uphold code of do no harm blatantly sold there soul for 2.5 lakh ? Is life so cheap ? These people are middle class . Not the lowest strata of  society, imagine a scenario where this people are poor and homeless ? Oh wait your don't need to imagine its solmon bhai case . Nothing will change . Nirbhaya case got justice cause culprits were poor people.",4,llama3:70b,Anger or Outrage,"""Lives of two people were lost and medical professionals who vowed to uphold the 'do no harm' code shamelessly sold their conscience for 2.5 lakhs. Is human life really so worthless? These individuals are from the middle class, not the lowest rung of society. Imagine if they were poor and homeless - it's already the case with Solomon Bhai. Nothing will change. The Nirbhaya case received justice only because the perpetrators were from a lower socio-economic background."""
304,"Everyone right now is talking about Vedant, his family, his property, but nobody is damn caring about how and in which situation the victim's parents are. Really sad to see this :crying_face:",3,llama3:70b,Victim Sympathy,"Everyone is now talking about Vedant, his family, and his property, but nobody cares about the situation of the victim's parents. It's really sad to see this :crying_face:"
2209,This reminds me of the case years and years ago about the kid that drove drunk and killed all the people and his parents went to jail to his mother. Who is it called the indulgent teen or something like that affluenza guy.,6,llama3:70b,Views on Similar Cases in the Past,"""This reminds me of the 'Affluenza' case where a drunk teenager killed people and his parents got him off with a lenient sentence, saying he was an 'indulgent teen'."""
2105,cover the story of aashraya sidana he did the same thingrecently,5,llama3:70b,Irrelevant/General Comments,"""Cover the story of Aashraya Sidana, he did the same thing recently."""
1428,Drink and drive is strictly prohibited in foreign countries... Same policy should be applied here!!,1,llama3:70b,Public Safety,"""Drinking and driving is strictly prohibited in foreign countries... The same policy should be implemented here."""
237,This Case Show That The Law Also Made Difference between Rich and Poor People :crying_face:. SHAME ON OUR SYSTEM...,2,llama3:70b,Socioeconomic Privilege,"""This case clearly shows that the law also discriminates between the rich and the poor people :crying_face:. SHAME ON OUR SYSTEM..."""
84,A true justice is BLOOD FOR BLOOD that's it.,4,llama3:70b,Anger or Outrage,"""A true justice is only achieved through retaliation, that's it."""
2456,"*Narendra Namard Modi* :face_with_symbols_on_mouth:
take action MF.. 
Minor Drinking And Doing Car accident 
Doing all the Adult Stuffs 
And getting treated like Adult 
Brigadier Pratap was right bachhe nahi time bomb hai saale",0,llama3:70b,Judicial Accountability and Policy Demands,"""Narendra Namard Modi :expressionless face:
Take action, you coward! 
Minor who was drinking and driving, 
Engaged in adult activities, 
And is being treated like an adult. 
Brigadier Pratap was right, this kid is a time bomb!"""
3066,huge respect for ambani childrens,5,llama3:70b,Irrelevant/General Comments,"""I have huge respect for the Ambani children."""
2813,different rules for rich on both india and pakistan recently that same incident also happened in karachi and the lady driving land crouser and kill father and daughter lady was director of five comapnies,2,llama3:70b,Socioeconomic Privilege,"""Different rules for the rich in both India and Pakistan. Recently, the same incident occurred in Karachi where a woman driving a land cruiser killed a father and daughter. The lady was the director of five companies."""
